""	"R1.bf.len"	"R2.bf.len"	"R1.af.len"	"R2.af.len"	"len.overlap.avg"
"Q.23.O.25"	251.15858275154	247.688721971253	279.218858316222	225.502186858316	423.711143737166
"Q.23.O.50"	251.15858275154	247.688721971253	279.218858316222	225.502186858316	425.684854209446
"Q.23.O.75"	251.15858275154	247.688721971253	279.218858316222	225.502186858316	411.91818275154
"Q.28.O.25"	251.15858275154	247.688721971253	270.121032854209	206.509041067762	416.168484599589
"Q.28.O.50"	251.15858275154	247.688721971253	270.121032854209	206.509041067762	417.166991786448
"Q.28.O.75"	251.15858275154	247.688721971253	270.121032854209	206.509041067762	382.442344969199
"Q.30.O.25"	251.15858275154	247.688721971253	265.41001026694	198.6268275154	411.771026694045
"Q.30.O.50"	251.15858275154	247.688721971253	265.41001026694	198.6268275154	409.602266940452
"Q.30.O.75"	251.15858275154	247.688721971253	265.41001026694	198.6268275154	362.182344969199
"Q.33.O.25"	251.15858275154	247.688721971253	256.271283367556	185.762332648871	400.834663244353
"Q.33.O.50"	251.15858275154	247.688721971253	256.271283367556	185.762332648871	384.929373716632
"Q.33.O.75"	251.15858275154	247.688721971253	256.271283367556	185.762332648871	330.220983572895
